ISO_YEAR,ISO_WEEK,COUNTRY_CODE,new_influenza_cases,new_influenza_mortality,new_covid_cases,new_covid_mortality
2020.0,2.0,PRT,1553.0,0.0,0.0,0.0
2020.0,2.0,PRY,20.0,12.0,0.0,0.0
2020.0,2.0,PSE,0.0,0.0,0.0,0.0
2020.0,2.0,PYF,0.0,0.0,0.0,0.0
2020.0,2.0,QAT,1584.0,0.0,0.0,0.0
2020.0,2.0,ROU,504.0,0.0,0.0,0.0
2020.0,2.0,RUS,3102.0,0.0,0.0,0.0
2020.0,2.0,RWA,0.0,0.0,0.0,0.0
2020.0,2.0,SAU,191.0,0.0,0.0,0.0
2020.0,2.0,SEN,38.0,0.0,0.0,0.0
2020.0,2.0,SGP,295.0,0.0,0.0,0.0
2020.0,2.0,SLB,0.0,0.0,0.0,0.0
2020.0,2.0,SLE,0.0,0.0,0.0,0.0
2020.0,2.0,SLV,0.0,74.0,0.0,0.0
2020.0,2.0,SRB,498.0,0.0,0.0,0.0
2020.0,2.0,SSD,0.0,0.0,0.0,0.0
2020.0,2.0,SUR,0.0,0.0,0.0,0.0
2020.0,2.0,SVK,46.0,0.0,0.0,0.0
2020.0,2.0,SVN,1351.0,0.0,0.0,0.0
2020.0,2.0,SWE,1598.0,0.0,0.0,0.0
2020.0,2.0,SYC,0.0,0.0,0.0,0.0
2020.0,2.0,SYR,0.0,0.0,0.0,0.0
2020.0,2.0,TCA,0.0,0.0,0.0,0.0
2020.0,2.0,TCD,0.0,0.0,0.0,0.0
2020.0,2.0,TGO,2.0,0.0,0.0,0.0
2020.0,2.0,THA,94.0,0.0,0.0,0.0
2020.0,2.0,TJK,0.0,0.0,0.0,0.0
2020.0,2.0,TKL,0.0,0.0,0.0,0.0
2020.0,2.0,TKM,0.0,0.0,0.0,0.0
2020.0,2.0,TLS,0.0,0.0,0.0,0.0
2020.0,2.0,TON,0.0,0.0,0.0,0.0
2020.0,2.0,TTO,0.0,0.0,0.0,0.0
2020.0,2.0,TUN,0.0,0.0,0.0,0.0
2020.0,2.0,TUR,0.0,0.0,0.0,0.0
2020.0,2.0,TUV,0.0,0.0,0.0,0.0
2020.0,2.0,TZA,0.0,0.0,0.0,0.0
2020.0,2.0,UGA,0.0,0.0,0.0,0.0
2020.0,2.0,UKR,317.0,0.0,0.0,0.0
2020.0,2.0,URY,0.0,0.0,0.0,0.0
2020.0,2.0,USA,83038.0,0.0,0.0,0.0
2020.0,2.0,UZB,0.0,0.0,0.0,0.0
2020.0,2.0,VCT,0.0,0.0,0.0,0.0
2020.0,2.0,VEN,0.0,0.0,0.0,0.0
2020.0,2.0,VGB,0.0,0.0,0.0,0.0
2020.0,2.0,VNM,14.0,0.0,0.0,0.0
2020.0,2.0,VUT,0.0,0.0,0.0,0.0
2020.0,2.0,WLF,0.0,0.0,0.0,0.0
2020.0,2.0,WSM,0.0,0.0,0.0,0.0
2020.0,2.0,YEM,35.0,0.0,0.0,0.0
2020.0,2.0,ZAF,9.0,0.0,0.0,0.0
2020.0,2.0,ZMB,0.0,0.0,0.0,0.0
2020.0,3.0,ABW,51.0,0.0,0.0,0.0
2020.0,3.0,AFG,58.0,23.0,0.0,0.0
2020.0,3.0,AGO,0.0,0.0,0.0,0.0
2020.0,3.0,AIA,0.0,0.0,0.0,0.0
2020.0,3.0,ALB,143.0,2.0,0.0,0.0
2020.0,3.0,ARE,76.0,0.0,0.0,0.0
2020.0,3.0,ARG,0.0,0.0,0.0,0.0
2020.0,3.0,ARM,147.0,0.0,0.0,0.0
2020.0,3.0,ATG,0.0,0.0,0.0,0.0
2020.0,3.0,AUS,313.0,0.0,0.0,0.0
2020.0,3.0,AUT,2103.0,0.0,0.0,0.0
2020.0,3.0,AZE,36.0,0.0,0.0,0.0
2020.0,3.0,BEL,104.0,0.0,0.0,0.0
2020.0,3.0,BFA,4.0,0.0,0.0,0.0
2020.0,3.0,BGD,12.0,0.0,0.0,0.0
2020.0,3.0,BGR,427.0,0.0,0.0,0.0
2020.0,3.0,BHR,0.0,0.0,0.0,0.0
2020.0,3.0,BHS,0.0,0.0,0.0,0.0
2020.0,3.0,BIH,0.0,0.0,0.0,0.0
2020.0,3.0,BLR,0.0,0.0,0.0,0.0
2020.0,3.0,BLZ,0.0,0.0,0.0,0.0
2020.0,3.0,BMU,0.0,0.0,0.0,0.0
2020.0,3.0,BOL,5.0,2.0,0.0,0.0
2020.0,3.0,BRA,32.0,0.0,0.0,0.0
2020.0,3.0,BRB,0.0,0.0,0.0,0.0
2020.0,3.0,BTN,21.0,0.0,0.0,0.0
2020.0,3.0,CAF,0.0,0.0,0.0,0.0
2020.0,3.0,CAN,16331.0,0.0,0.0,0.0
2020.0,3.0,CHE,3329.0,0.0,0.0,0.0
2020.0,3.0,CHL,9.0,9.0,0.0,0.0
2020.0,3.0,CHN,8009.0,0.0,44.0,1.0
2020.0,3.0,CIV,10.0,25.0,0.0,0.0
2020.0,3.0,CMR,1.0,0.0,0.0,0.0
2020.0,3.0,COD,20.0,0.0,0.0,0.0
2020.0,3.0,COK,0.0,0.0,0.0,0.0
2020.0,3.0,COL,80.0,24.0,0.0,0.0
2020.0,3.0,CRI,0.0,2.0,0.0,0.0
2020.0,3.0,CUB,0.0,0.0,0.0,0.0
2020.0,3.0,CYM,0.0,0.0,0.0,0.0
2020.0,3.0,CZE,0.0,0.0,0.0,0.0
2020.0,3.0,DEU,297.0,0.0,0.0,0.0
2020.0,3.0,DMA,0.0,0.0,0.0,0.0
2020.0,3.0,DNK,1552.0,0.0,0.0,0.0
2020.0,3.0,DOM,0.0,2.0,0.0,0.0
2020.0,3.0,DZA,0.0,0.0,0.0,0.0
2020.0,3.0,ECU,0.0,10.0,0.0,0.0
2020.0,3.0,EGY,275.0,0.0,0.0,0.0
2020.0,3.0,ESP,5064.0,0.0,0.0,0.0
2020.0,3.0,EST,134.0,0.0,0.0,0.0
2020.0,3.0,ETH,0.0,0.0,0.0,0.0
2020.0,3.0,FIN,20.0,0.0,0.0,0.0
2020.0,3.0,FJI,0.0,0.0,0.0,0.0
2020.0,3.0,FRA,4652.0,0.0,0.0,0.0
2020.0,3.0,FSM,0.0,0.0,0.0,0.0
2020.0,3.0,GBR,5218.0,0.0,0.0,0.0
2020.0,3.0,GEO,35.0,0.0,0.0,0.0
2020.0,3.0,GHA,3.0,0.0,0.0,0.0
2020.0,3.0,GIN,0.0,0.0,0.0,0.0
2020.0,3.0,GLP,0.0,0.0,0.0,0.0
2020.0,3.0,GRC,314.0,0.0,0.0,0.0
2020.0,3.0,GRD,0.0,0.0,0.0,0.0
2020.0,3.0,GTM,9.0,0.0,0.0,0.0
2020.0,3.0,GUF,29.0,0.0,0.0,0.0
2020.0,3.0,GUM,0.0,0.0,0.0,0.0
2020.0,3.0,GUY,0.0,0.0,0.0,0.0
2020.0,3.0,HND,6.0,0.0,0.0,0.0
2020.0,3.0,HRV,0.0,0.0,0.0,0.0
2020.0,3.0,HTI,0.0,0.0,0.0,0.0
2020.0,3.0,HUN,192.0,0.0,0.0,0.0
2020.0,3.0,IDN,369.0,0.0,0.0,0.0
2020.0,3.0,IND,38.0,0.0,0.0,0.0
2020.0,3.0,IRL,529.0,0.0,0.0,0.0
2020.0,3.0,IRN,202.0,0.0,0.0,0.0
2020.0,3.0,IRQ,0.0,0.0,0.0,0.0
2020.0,3.0,ISL,82.0,0.0,0.0,0.0
2020.0,3.0,ISR,0.0,0.0,0.0,0.0
2020.0,3.0,ITA,3143.0,0.0,0.0,0.0
2020.0,3.0,JAM,0.0,0.0,0.0,0.0
2020.0,3.0,JOR,0.0,0.0,0.0,0.0
2020.0,3.0,JPN,1745.0,0.0,0.0,0.0
2020.0,3.0,KAZ,335.0,0.0,0.0,0.0
2020.0,3.0,KEN,20.0,4.0,0.0,0.0
2020.0,3.0,KGZ,0.0,0.0,0.0,0.0
2020.0,3.0,KHM,21.0,0.0,0.0,0.0
2020.0,3.0,KIR,0.0,0.0,0.0,0.0
2020.0,3.0,KNA,0.0,0.0,0.0,0.0
2020.0,3.0,KOR,0.0,0.0,0.0,0.0
2020.0,3.0,KWT,0.0,0.0,0.0,0.0
2020.0,3.0,LAO,0.0,0.0,0.0,0.0
2020.0,3.0,LBN,158.0,0.0,0.0,0.0
2020.0,3.0,LCA,0.0,0.0,0.0,0.0
2020.0,3.0,LKA,56.0,0.0,0.0,0.0
2020.0,3.0,LTU,189.0,0.0,0.0,0.0
2020.0,3.0,LUX,134.0,0.0,0.0,0.0
2020.0,3.0,LVA,71.0,0.0,0.0,0.0
2020.0,3.0,MAR,0.0,0.0,0.0,0.0
2020.0,3.0,MDA,67.0,0.0,0.0,0.0
2020.0,3.0,MDG,0.0,0.0,0.0,0.0
2020.0,3.0,MDV,0.0,0.0,0.0,0.0
2020.0,3.0,MEX,0.0,494.0,0.0,0.0
2020.0,3.0,MHL,0.0,0.0,0.0,0.0
2020.0,3.0,MKD,0.0,0.0,0.0,0.0
2020.0,3.0,MLI,28.0,0.0,0.0,0.0
2020.0,3.0,MLT,0.0,0.0,0.0,0.0
2020.0,3.0,MMR,0.0,0.0,0.0,0.0
2020.0,3.0,MNE,84.0,0.0,0.0,0.0
2020.0,3.0,MNG,717.0,0.0,0.0,0.0
2020.0,3.0,MNP,0.0,0.0,0.0,0.0
2020.0,3.0,MOZ,0.0,0.0,0.0,0.0
2020.0,3.0,MRT,0.0,0.0,0.0,0.0
2020.0,3.0,MTQ,0.0,0.0,0.0,0.0
2020.0,3.0,MUS,17.0,0.0,0.0,0.0
2020.0,3.0,MYS,190.0,0.0,0.0,0.0
2020.0,3.0,NCL,0.0,0.0,0.0,0.0
2020.0,3.0,NER,13.0,0.0,0.0,0.0
2020.0,3.0,NGA,0.0,0.0,0.0,0.0
2020.0,3.0,NIC,9.0,0.0,0.0,0.0
2020.0,3.0,NIU,0.0,0.0,0.0,0.0
2020.0,3.0,NOR,3997.0,0.0,0.0,0.0
2020.0,3.0,NPL,110.0,7.0,0.0,0.0
2020.0,3.0,NZL,0.0,0.0,0.0,0.0
2020.0,3.0,OMN,59.0,0.0,0.0,0.0
2020.0,3.0,PAK,6.0,0.0,0.0,0.0
2020.0,3.0,PAN,0.0,0.0,0.0,0.0
2020.0,3.0,PCN,0.0,0.0,0.0,0.0
2020.0,3.0,PER,0.0,0.0,0.0,0.0
2020.0,3.0,PHL,0.0,0.0,0.0,0.0
2020.0,3.0,PLW,0.0,0.0,0.0,0.0
2020.0,3.0,PNG,0.0,0.0,0.0,0.0
2020.0,3.0,POL,243.0,0.0,0.0,0.0
2020.0,3.0,PRK,27.0,0.0,0.0,0.0
2020.0,3.0,PRT,1553.0,0.0,0.0,0.0
2020.0,3.0,PRY,20.0,12.0,0.0,0.0
2020.0,3.0,PSE,0.0,0.0,0.0,0.0
2020.0,3.0,PYF,0.0,0.0,0.0,0.0
2020.0,3.0,QAT,1584.0,0.0,0.0,0.0
2020.0,3.0,ROU,504.0,0.0,0.0,0.0
2020.0,3.0,RUS,3102.0,0.0,0.0,0.0
2020.0,3.0,RWA,0.0,0.0,0.0,0.0
2020.0,3.0,SAU,191.0,0.0,0.0,0.0
2020.0,3.0,SEN,38.0,0.0,0.0,0.0
2020.0,3.0,SGP,295.0,0.0,0.0,0.0
2020.0,3.0,SLB,0.0,0.0,0.0,0.0
2020.0,3.0,SLE,0.0,0.0,0.0,0.0
2020.0,3.0,SLV,0.0,74.0,0.0,0.0
2020.0,3.0,SRB,498.0,0.0,0.0,0.0
2020.0,3.0,SSD,0.0,0.0,0.0,0.0
2020.0,3.0,SUR,0.0,0.0,0.0,0.0
2020.0,3.0,SVK,46.0,0.0,0.0,0.0
2020.0,3.0,SVN,1351.0,0.0,0.0,0.0
2020.0,3.0,SWE,1598.0,0.0,0.0,0.0
2020.0,3.0,SYC,0.0,0.0,0.0,0.0
2020.0,3.0,SYR,0.0,0.0,0.0,0.0
2020.0,3.0,TCA,0.0,0.0,0.0,0.0
2020.0,3.0,TCD,0.0,0.0,0.0,0.0
2020.0,3.0,TGO,2.0,0.0,0.0,0.0
2020.0,3.0,THA,94.0,0.0,0.0,0.0
2020.0,3.0,TJK,0.0,0.0,0.0,0.0
2020.0,3.0,TKL,0.0,0.0,0.0,0.0
2020.0,3.0,TKM,0.0,0.0,0.0,0.0
2020.0,3.0,TLS,0.0,0.0,0.0,0.0
2020.0,3.0,TON,0.0,0.0,0.0,0.0
2020.0,3.0,TTO,0.0,0.0,0.0,0.0
2020.0,3.0,TUN,0.0,0.0,0.0,0.0
2020.0,3.0,TUR,0.0,0.0,0.0,0.0
2020.0,3.0,TUV,0.0,0.0,0.0,0.0
2020.0,3.0,TZA,0.0,0.0,0.0,0.0
2020.0,3.0,UGA,0.0,0.0,0.0,0.0
2020.0,3.0,UKR,317.0,0.0,0.0,0.0
2020.0,3.0,URY,0.0,0.0,0.0,0.0
2020.0,3.0,USA,83038.0,0.0,0.0,0.0
2020.0,3.0,UZB,0.0,0.0,0.0,0.0
2020.0,3.0,VCT,0.0,0.0,0.0,0.0
2020.0,3.0,VEN,0.0,0.0,0.0,0.0
2020.0,3.0,VGB,0.0,0.0,0.0,0.0
2020.0,3.0,VNM,14.0,0.0,0.0,0.0
2020.0,3.0,VUT,0.0,0.0,0.0,0.0
2020.0,3.0,WLF,0.0,0.0,0.0,0.0
2020.0,3.0,WSM,0.0,0.0,0.0,0.0
2020.0,3.0,YEM,35.0,0.0,0.0,0.0
2020.0,3.0,ZAF,9.0,0.0,0.0,0.0
2020.0,3.0,ZMB,0.0,0.0,0.0,0.0
2020.0,4.0,ABW,51.0,0.0,0.0,0.0
2020.0,4.0,AFG,58.0,23.0,0.0,0.0
2020.0,4.0,AGO,0.0,0.0,0.0,0.0
2020.0,4.0,AIA,0.0,0.0,0.0,0.0
2020.0,4.0,ALB,143.0,2.0,0.0,0.0
2020.0,4.0,ARE,76.0,0.0,0.0,0.0
2020.0,4.0,ARG,0.0,0.0,0.0,0.0
2020.0,4.0,ARM,147.0,0.0,0.0,0.0
2020.0,4.0,ATG,0.0,0.0,0.0,0.0
2020.0,4.0,AUS,313.0,0.0,0.0,0.0
2020.0,4.0,AUT,2103.0,0.0,0.0,0.0
2020.0,4.0,AZE,36.0,0.0,0.0,0.0
2020.0,4.0,BEL,104.0,0.0,0.0,0.0
2020.0,4.0,BFA,4.0,0.0,0.0,0.0
2020.0,4.0,BGD,12.0,0.0,0.0,0.0
2020.0,4.0,BGR,427.0,0.0,0.0,0.0
2020.0,4.0,BHR,0.0,0.0,0.0,0.0
2020.0,4.0,BHS,0.0,0.0,0.0,0.0
2020.0,4.0,BIH,0.0,0.0,0.0,0.0
2020.0,4.0,BLR,0.0,0.0,0.0,0.0
2020.0,4.0,BLZ,0.0,0.0,0.0,0.0
2020.0,4.0,BMU,0.0,0.0,0.0,0.0
2020.0,4.0,BOL,5.0,2.0,0.0,0.0
2020.0,4.0,BRA,32.0,0.0,0.0,0.0
2020.0,4.0,BRB,0.0,0.0,0.0,0.0
2020.0,4.0,BTN,21.0,0.0,0.0,0.0
2020.0,4.0,CAF,0.0,0.0,0.0,0.0
2020.0,4.0,CAN,16331.0,0.0,0.0,0.0
2020.0,4.0,CHE,3329.0,0.0,0.0,0.0
2020.0,4.0,CHL,9.0,9.0,0.0,0.0
2020.0,4.0,CHN,8009.0,0.0,80.0,2.0
2020.0,4.0,CIV,10.0,25.0,0.0,0.0
2020.0,4.0,CMR,1.0,0.0,0.0,0.0
2020.0,4.0,COD,20.0,0.0,0.0,0.0
2020.0,4.0,COK,0.0,0.0,0.0,0.0
2020.0,4.0,COL,80.0,24.0,0.0,0.0
2020.0,4.0,CRI,0.0,2.0,0.0,0.0
2020.0,4.0,CUB,0.0,0.0,0.0,0.0
2020.0,4.0,CYM,0.0,0.0,0.0,0.0
2020.0,4.0,CZE,0.0,0.0,0.0,0.0
2020.0,4.0,DEU,297.0,0.0,0.0,0.0
2020.0,4.0,DMA,0.0,0.0,0.0,0.0
2020.0,4.0,DNK,1552.0,0.0,0.0,0.0
2020.0,4.0,DOM,0.0,2.0,0.0,0.0
2020.0,4.0,DZA,0.0,0.0,0.0,0.0
2020.0,4.0,ECU,0.0,10.0,0.0,0.0
2020.0,4.0,EGY,275.0,0.0,0.0,0.0
2020.0,4.0,ESP,5064.0,0.0,2.0,0.0
2020.0,4.0,EST,134.0,0.0,0.0,0.0
2020.0,4.0,ETH,0.0,0.0,0.0,0.0
2020.0,4.0,FIN,20.0,0.0,0.0,0.0
2020.0,4.0,FJI,0.0,0.0,0.0,0.0
2020.0,4.0,FRA,4652.0,0.0,0.0,0.0
2020.0,4.0,FSM,0.0,0.0,0.0,0.0
2020.0,4.0,GBR,5218.0,0.0,0.0,0.0
2020.0,4.0,GEO,35.0,0.0,0.0,0.0
2020.0,4.0,GHA,3.0,0.0,0.0,0.0
2020.0,4.0,GIN,0.0,0.0,0.0,0.0
2020.0,4.0,GLP,0.0,0.0,0.0,0.0
2020.0,4.0,GRC,314.0,0.0,0.0,0.0
2020.0,4.0,GRD,0.0,0.0,0.0,0.0
2020.0,4.0,GTM,9.0,0.0,0.0,0.0
2020.0,4.0,GUF,29.0,0.0,0.0,0.0
2020.0,4.0,GUM,0.0,0.0,0.0,0.0
2020.0,4.0,GUY,0.0,0.0,0.0,0.0
2020.0,4.0,HND,6.0,0.0,0.0,0.0
2020.0,4.0,HRV,0.0,0.0,0.0,0.0
2020.0,4.0,HTI,0.0,0.0,0.0,0.0
2020.0,4.0,HUN,192.0,0.0,0.0,0.0
2020.0,4.0,IDN,369.0,0.0,0.0,0.0
2020.0,4.0,IND,38.0,0.0,0.0,0.0
2020.0,4.0,IRL,529.0,0.0,0.0,0.0
2020.0,4.0,IRN,202.0,0.0,0.0,0.0
2020.0,4.0,IRQ,0.0,0.0,0.0,0.0
2020.0,4.0,ISL,82.0,0.0,0.0,0.0
2020.0,4.0,ISR,0.0,0.0,0.0,0.0
2020.0,4.0,ITA,3143.0,0.0,0.0,0.0
2020.0,4.0,JAM,0.0,0.0,0.0,0.0
2020.0,4.0,JOR,0.0,0.0,0.0,0.0
2020.0,4.0,JPN,1745.0,0.0,1.0,0.0
2020.0,4.0,KAZ,335.0,0.0,0.0,0.0
2020.0,4.0,KEN,20.0,4.0,0.0,0.0
2020.0,4.0,KGZ,0.0,0.0,0.0,0.0
2020.0,4.0,KHM,21.0,0.0,0.0,0.0
2020.0,4.0,KIR,0.0,0.0,0.0,0.0
2020.0,4.0,KNA,0.0,0.0,0.0,0.0
2020.0,4.0,KOR,0.0,0.0,1.0,0.0
2020.0,4.0,KWT,0.0,0.0,0.0,0.0
2020.0,4.0,LAO,0.0,0.0,0.0,0.0
2020.0,4.0,LBN,158.0,0.0,0.0,0.0
2020.0,4.0,LCA,0.0,0.0,0.0,0.0
2020.0,4.0,LKA,56.0,0.0,0.0,0.0
2020.0,4.0,LTU,189.0,0.0,0.0,0.0
2020.0,4.0,LUX,134.0,0.0,0.0,0.0
2020.0,4.0,LVA,71.0,0.0,0.0,0.0
2020.0,4.0,MAR,0.0,0.0,0.0,0.0
2020.0,4.0,MDA,67.0,0.0,0.0,0.0
2020.0,4.0,MDG,0.0,0.0,0.0,0.0
2020.0,4.0,MDV,0.0,0.0,0.0,0.0
2020.0,4.0,MEX,0.0,494.0,0.0,0.0
2020.0,4.0,MHL,0.0,0.0,0.0,0.0
2020.0,4.0,MKD,0.0,0.0,0.0,0.0
2020.0,4.0,MLI,28.0,0.0,0.0,0.0
2020.0,4.0,MLT,0.0,0.0,0.0,0.0
2020.0,4.0,MMR,0.0,0.0,0.0,0.0
2020.0,4.0,MNE,84.0,0.0,0.0,0.0
2020.0,4.0,MNG,717.0,0.0,0.0,0.0
2020.0,4.0,MNP,0.0,0.0,0.0,0.0
2020.0,4.0,MOZ,0.0,0.0,0.0,0.0
2020.0,4.0,MRT,0.0,0.0,0.0,0.0
